date,time,co,so2,pm10
1400/01/01,0,1.36474232,3.38556232,41.10000006
1400/01/01,1,1.36474232,3.38556232,41.10000006
1400/01/01,2,1.92868333,3.97260028,43.66666667
1400/01/01,3,2.17555509,4.23772158,33.96666654
1400/01/01,4,1.73082786,4.15842625,32.80000003
1400/01/01,5,1.08756671,3.70479099,27.10000006
1400/01/01,6,0.8668209,3.25858976,29.67857138
1400/01/01,7,1.09516089,3.57794106,21.36666663
1400/01/01,8,1.89168934,5.34143219,32.39999994
1400/01/01,9,2.22761144,6.1184153,44.10256418
1400/01/01,10,0.73566921,3.54581042,46.96428585
1400/01/01,11,0.56307897,3.27075297,19.13333337
1400/01/01,12,0.72517037,3.40147847,22.76666673
1400/01/01,13,0.69659897,3.37852464,15.90000002
1400/01/01,14,0.51538506,2.78238219,12.9666667
1400/01/01,15,0.47522209,2.8726999,12.0
1400/01/01,16,0.43564052,2.78451884,12.16666667
1400/01/01,17,0.5156388,3.11346088,16.83333333
1400/01/01,18,0.56775994,3.35164773,12.42857138
1400/01/01,19,0.58451618,3.0784089,23.76666673
1400/01/01,20,0.72984543,3.25317651,17.46428569
1400/01/01,21,1.14194991,3.45595976,30.0333333
1400/01/01,22,1.46801389,4.86048081,31.46666654
1400/01/01,23,2.35095558,6.5098211,45.33333333
1400/01/02,0,3.41149362,7.77824577,55.47619057
1400/01/02,1,2.71302923,7.61533976,71.35714277
1400/01/02,2,2.77155447,11.24260902,82.29999987
1400/01/02,3,2.83273002,7.85830577,61.60000006
1400/01/02,4,2.84778637,8.348265810000001,50.20833333
1400/01/02,5,2.16317412,5.43943107,54.33333333
1400/01/02,6,2.88352501,5.77054318,35.70000013
1400/01/02,7,4.26376605,7.82878304,56.29411761
1400/01/02,8,2.52519975,7.39582054,75.35897446
1400/01/02,9,1.39282799,6.51466052,56.95238071
1400/01/02,10,0.84287569,4.59276207,46.20833333
1400/01/02,11,0.55748303,3.68394605,38.3720239
1400/01/02,12,0.52708222,4.24254068,47.69047674
1400/01/02,13,0.59876484,3.84014324,41.1904761
1400/01/02,14,0.56445862,3.90249795,47.78888893
1400/01/02,15,0.51056721,3.85369541,55.24696954
1400/01/02,16,0.53628575,3.46827662,66.86666679
1400/01/02,17,0.607933,3.27004564,74.71428553
1400/01/02,18,0.55947843,3.18110758,79.8214283
1400/01/02,19,0.60037175,3.30668896,73.19117673
1400/01/02,20,0.80492548,3.23811106,72.60376994
1400/01/02,21,1.19890928,3.53515659,68.02604167
1400/01/02,22,2.07090863,4.98532136,68.10714277
1400/01/02,23,2.09037984,5.3302623,86.5625
1400/01/03,0,1.8466119,5.24397226,123.63461558
1400/01/03,1,1.98227581,5.66679474,114.13968277
1400/01/03,2,1.07370079,4.81102842,92.24118614
1400/01/03,3,0.61201153,3.30812766,76.53333346
1400/01/03,4,0.51766608,3.74304008,46.07254918
1400/01/03,5,0.53259838,2.90035556,48.85714277
1400/01/03,6,0.58565348,2.799577,56.80000019
1400/01/03,7,0.63477807,2.79823061,51.41483498
1400/01/03,8,0.95810613,3.03186329,62.69230779
1400/01/03,9,0.70574334,3.2646751,63.0
1400/01/03,10,0.66283487,3.17101814,60.0
1400/01/03,11,0.52296429,2.79033496,60.26666673
1400/01/03,12,0.46652658,2.74110806,68.0
1400/01/03,13,0.57008758,2.3184549,84.46666654
1400/01/03,14,0.51345474,2.17932783,97.46666654
1400/01/03,15,0.54268307,2.07152273,82.26666641
1400/01/03,16,0.55599158,1.82341144,90.36666679
1400/01/03,17,0.53035401,1.88218839,101.40000025
1400/01/03,18,0.59260247,1.77682248,112.86666679
1400/01/03,19,0.62310869,1.86823796,109.75
1400/01/03,20,0.92201175,2.09365082,130.08928553
1400/01/03,21,1.19110656,2.30254344,133.83333333
1400/01/03,22,0.62392987,2.04029609,157.26666641
1400/01/03,23,0.57402311,1.79551857,134.93333308
1400/01/04,0,0.64353019,2.02128712,103.70000013
1400/01/04,1,1.49648285,2.99214925,95.43333308
1400/01/04,2,2.6742381,4.11876122,108.29999987
1400/01/04,3,2.29692302,4.67077974,116.40000025
1400/01/04,4,2.52511074,4.0717388,98.96428553
1400/01/04,5,2.20848435,3.94621489,97.80769221
1400/01/04,6,2.34616178,4.34129973,91.93333308
1400/01/04,7,4.15822266,6.3807817700000005,91.5
1400/01/04,8,1.63251633,4.8979380500000005,133.56666692
1400/01/04,9,2.25757626,4.42189908,92.0
1400/01/04,10,1.70601896,4.07612973,97.93333308
1400/01/04,11,1.26265488,3.25304377,95.43333308
1400/01/04,12,0.86545184,3.0018065,79.0
1400/01/04,13,0.79450446,3.61984599,99.20000013
